country;year;notice_num;VALUE_EURO_min;VALUE_EURO_max;VALUE_EURO_mean;VALUE_EURO_median;CPV_distinct_count;CPV_division_90
DE;2016;4594;0.01;126500000.0;2213118.61;714809.975;518;1957
DE;2016;6504;0.01;5380000000.0;6291426.74;451600.0;568;25
DE;2016;2511;0.01;45000000.0;903839.66;383000.0;529;44
DE;2017;7423;0.01;720000000.0;4493312.77;460000.0;631;29
DE;2017;2939;0.01;256560000.0;1416703.01;420000.0;576;88
DE;2017;5774;0.01;222000000.0;3804172.89;1100000.0;579;3312
DE;2018;6494;0.01;364000000.0;3532902.37;750000.0;608;3409
DE;2018;3283;0.01;37000000.0;1154184.57;380000.0;638;66
DE;2018;9214;0.01;85000000.0;3548295.76;297765.0;680;36
DE;2019;10697;0.01;94496638.66;3421443.58;405831.07;653;33
DE;2019;3860;0.01;70195000.0;1874218.48;420000.0;664;53
DE;2019;7494;0.01;300000000.0;5441255.88;950000.0;626;3806
DE;2020;4328;0.01;352413598.0;3345857.89;410000.0;681;0
DE;2020;7926;0.01;635232306.0;3884770.98;778813.8;562;3545
DE;2020;12694;0.01;143357143.0;3183813.29;355812.62;464;1
DE;2021;12732;0.01;5795000000.0;7039003.26;470226.7;407;0
DE;2021;4878;0.01;6676000000.0;4425216.82;402000.0;659;0
DE;2021;8572;0.01;12600000000.0;6962852.9;760000.0;563;3913
DE;2022;13421;0.01;800000000.0;4865802.21;601182.2849999999;419;0
DE;2022;5186;0.01;830000000.0;2301724.93;500000.0;715;0
DE;2022;9507;0.01;1600000000.0;5260708.3;777500.0;595;4244
ES;2016;1449;5712.0;936000000.0;5485082.8;750144.0;458;2
ES;2016;2884;24.0;1253635550.43;8802558.02;1019034.0;557;764
ES;2016;52;59882.82;126446281.04;23755378.83;12029818.19;30;4
ES;2017;1842;32000.0;236142017.66;7675231.99;1436330.44;552;7
ES;2017;3665;21.0;495887600.0;8319161.16;1208390.0;639;845
ES;2017;101;849212.61;95479545.63;16202171.53;8644498.8;48;0
ES;2018;138;200000.0;194431582.28;22133477.37;7819708.72;66;0
ES;2018;1979;11008.28;233855448.32;12613980.94;989395.0;598;66
ES;2018;3591;3000.0;3254020934.38;10878420.02;1031256.0;663;986
ES;2019;128;306959.84;310753515.19;18508939.35;9988512.36;55;0
ES;2019;2409;11008.28;920258401.1;11763757.62;854308.13;663;6
ES;2019;4312;3807.69;715822351.0;12040585.81;1512804.13;697;1478
ES;2020;148;64080.31;209440000.0;36274867.31;15909090.89;57;0
ES;2020;2208;5304.0;689000000.0;9351033.49;1152160.3399999999;587;0
ES;2020;4817;3099.2;606013086.0;123274662.18;182482944.0;642;1709
ES;2021;211;141380.33;112325062.55;16726458.7;8353466.71;70;0
ES;2021;2646;916.2;997631000.0;6026993.79;835302.68;669;0
ES;2021;5824;24793.39;1584728506.91;21509403.51;2307211.24;681;1997
ES;2022;290;42479.34;2847986667.47;40699906.24;18345830.0;95;0
ES;2022;3346;21192.15;583651805.0;5112996.74;767901.28;750;0
ES;2022;5703;0.01;1628083584.06;11101528.2;1151092.0;698;1732
FR;2016;1762;1.0;1300000000.0;20818320.41;6057224.0;354;18
FR;2016;3750;1.0;48200000.0;1569396.03;600000.0;837;36
FR;2016;6691;0.01;869600000.0;8207698.9;978240.0;957;1784
FR;2017;2151;1.0;240000000.0;11134040.46;5780000.0;385;33
FR;2017;4054;1.0;31400000.0;1348618.01;640000.0;870;29
FR;2017;7643;1.0;6385350000.0;12059036.62;841162.93;1014;2319
FR;2018;2301;1.0;9999999999.0;39297734.89;6120000.0;365;62
FR;2018;4154;1.0;120000000.0;2036198.01;756000.0;929;7
FR;2018;8133;1.0;1200000000.0;6662573.3;819820.0;1042;2819
FR;2019;2142;1.0;192000000.0;15311715.52;7400000.0;377;13
FR;2019;4307;1.0;99999999.0;1648602.41;700000.0;917;32
FR;2019;8422;1.0;2200000000.0;7709401.29;800000.0;1087;2817
FR;2020;1690;1.0;9850000000.0;16460221.98;6100000.0;265;1
FR;2020;3876;1.0;160000000.0;1778888.63;720000.0;779;0
FR;2020;7466;1.0;1500000000.0;14888167.73;880000.0;802;2256
FR;2021;1909;1.0;550000000.0;11020672.21;6450000.0;278;0
FR;2021;4369;1.0;88000000.0;2321817.12;774000.0;814;0
FR;2021;9073;1.0;4300000000.0;7768160.82;840000.0;817;2994
FR;2022;1992;1.0;2147483647.0;26014149.8;7560000.0;294;0
FR;2022;4562;1.0;999999999.0;3456343.57;980000.0;842;0
FR;2022;9468;1.0;4000000000.0;7388293.01;914040.0;815;3303
IT;2016;105;53552.64;585811097.14;16521516.14;8655000.0;63;1
IT;2016;570;134000.0;4500000000.0;34773540.67;4205032.0;253;3
IT;2016;2378;1.0;1495400000.0;7856707.39;1164273.5;442;446
IT;2017;534;2100.0;1240014092.55;84595114.91;22825155.0;226;1
IT;2017;2950;0.01;736000000.0;11499993.97;1277877.75;488;606
IT;2017;97;102784.96;430741516.12;17734801.39;5313000.18;60;2
IT;2018;590;700.0;12292396000.0;58413685.23;8172450.0;263;2
IT;2018;2948;1.07;7582580000.0;10235603.29;1512000.0;504;976
IT;2018;133;31000.0;165284574.77;11933361.38;11880675.0;70;1
IT;2019;137;20000.0;18000000000.0;117325816.97;6581544.86;69;1
IT;2019;3015;4210.0;1509890997.0;12210740.56;1302000.0;509;815
IT;2019;671;105000.0;6000000000.0;39304918.46;5408524.0;257;0
IT;2020;742;102015.56;2113903690.0;13958199.46;4524390.0;265;0
IT;2020;2848;2500.0;489086029.03;18902436.21;1320000.0;441;1072
IT;2020;188;129540.37;98328000.0;10855300.23;6616330.19;81;0
IT;2021;807;117300.0;7000000000.0;18252581.68;4905632.0;307;0
IT;2021;3587;20000.0;1878876096.29;9884377.68;1275000.0;464;1310
IT;2021;167;117950.29;334846475.44;15286927.74;8667817.06;61;0
IT;2022;330;162460.22;636885000.0;52990454.71;10470550.65;106;0
IT;2022;942;1700.0;8000000000.0;70537161.18;7200902.93;328;0
IT;2022;3513;15000.0;11622873000.0;12216269.66;1493100.0;469;1190
